Provinsi,IPM,Pagu TKDD,Realisasi TKDD,Jumlah Penduduk,Anggaran APBN per kapita,Persentase Penduduk Miskin,Produk Domestik Regional Bruto (PDRB) Atas Dasar Harga Berlaku,Produk Domestik Regional Bruto per Kapita HB,Laju Pertumbuhan PDRB atas dasar konstan 2010,Persentase Realisasi TKDD,Kategori Persentase Realisasi TKDD,Kategori IPM
ACEH,74.7,30821480000000.0,31074560000000.0,5409200.0,5744760.778,14.45,227018.2,41408000,4.23,100.82111566349184,>100%,Tinggi
BALI,78.01,11152110000000.0,11064980000000.0,4374300.0,2529543.013,4.25,274358.18,62294000,5.71,99.21871287137591,90-100%,Tinggi
BANTEN,75.77,17453380000000.0,17467380000000.0,12167000.0,1435635.736,6.17,814122.03,66147000,4.81,100.0802136892682,>100%,Tinggi
BENGKULU,74.3,10570080000000.0,10559790000000.0,2059400.0,5127605.128,14.04,96583.09,46300000,4.28,99.90264974342674,90-100%,Tinggi
DI YOGYAKARTA,81.09,10355870000000.0,10241290000000.0,3712600.0,2758522.329,11.04,180696.04,48360000,5.07,98.89357436893279,90-100%,Sangat Tinggi
DKI JAKARTA,83.55,24694990000000.0,25080180000000.0,10640000.0,2357159.774,4.44,3443026.23,322619000,4.96,101.55979006268072,>100%,Sangat Tinggi
GORONTALO,71.25,6172420000000.0,6155410000000.0,1198400.0,5136356.809,15.15,51366.74,42341000,4.5,99.72441927153369,90-100%,Tinggi
JAMBI,73.73,15232070000000.0,15352670000000.0,3633200.0,4225660.575,7.58,293780.01,79850000,4.67,100.79175056312111,>100%,Tinggi
JAWA BARAT,74.24,71321760000000.0,71031690000000.0,49306800.0,1440606.367,7.62,2625225.72,52652000,5.0,99.59329382785843,90-100%,Tinggi
JAWA TENGAH,73.39,67129690000000.0,66772060000000.0,37180400.0,1795894.073,10.77,1695621.57,45167000,4.97,99.46725509979265,90-100%,Tinggi
JAWA TIMUR,74.65,82008300000000.0,81921890000000.0,41230000.0,1986948.581,10.35,2953546.98,71122000,4.95,99.89463261645467,90-100%,Tinggi
KALIMANTAN BARAT,70.47,20797470000000.0,21091320000000.0,55497000.0,380044.3267,6.71,274468.58,48809000,4.46,101.41291224365273,>100%,Tinggi
KALIMANTAN SELATAN,74.66,31630780000000.0,34980280000000.0,41702000.0,838815.4045,4.29,269192.02,63754000,4.84,110.58936896276347,>100%,Tinggi
KALIMANTAN TENGAH,73.73,27690230000000.0,28862210000000.0,2737200.0,10544428.61,5.11,208783.35,75271000,4.14,104.232467552635,>100%,Tinggi
KALIMANTAN TIMUR,78.2,51643470000000.0,57314680000000.0,3856800.0,14860682.43,6.11,843571.25,215761000,6.22,110.98146580777784,>100%,Tinggi
KALIMANTAN UTARA,72.88,10994410000000.0,11593270000000.0,720100.0,16099527.84,6.45,147278.62,201749000,4.94,105.44694985906476,>100%,Tinggi
KEP. BANGKA BELITUNG,74.09,7497480000000.0,7454150000000.0,1492000.0,4996079.088,4.52,102526.77,67813000,4.38,99.42207248302097,90-100%,Tinggi
KEP. RIAU,79.08,9246690000000.0,10150740000000.0,2121500.0,4784699.505,5.69,331644.52,154065000,5.16,109.77701209838331,>100%,Tinggi
LAMPUNG,72.48,21508120000000.0,21528000000000.0,4496600.0,4787617.311,11.11,448850.64,48191000,4.55,100.09243020775409,>100%,Tinggi
MALUKU,72.75,12132820000000.0,12049380000000.0,1895100.0,6358176.35,16.42,58487.79,30455000,5.21,99.31227859640217,90-100%,Tinggi
MALUKU UTARA,70.98,14200220000000.0,14302050000000.0,1318500.0,10847212.74,6.46,85143.13,63675000,20.49,100.71710156603208,>100%,Tinggi
NUSA TENGGARA BARAT,72.37,17422350000000.0,17387050000000.0,5474000.0,3176297.041,13.85,166395.45,29926000,1.8,99.79738669008486,90-100%,Tinggi
NUSA TENGGARA TIMUR,68.4,24260850000000.0,24126500000000.0,5481800.0,4401200.336,19.96,128522.85,23078000,3.47,99.4462271519753,90-100%,Sedang
PAPUA,63.01,12211710000000.0,11518350000000.0,4429700.0,2600255.096,26.03,81731.73,78055000,4.22,94.32217109643122,90-100%,Sedang
PAPUA BARAT,67.47,14013240000000.0,14396370000000.0,1168400.0,12321439.58,20.49,61576.37,108110000,5.18,102.73405722017176,>100%,Sedang
RIAU,74.95,24471680000000.0,25522200000000.0,6555800.0,3893071.784,6.68,1026472.05,154522000,4.21,104.29279885974319,>100%,Tinggi
SULAWESI BARAT,69.8,6921800000000.0,6877950000000.0,1458900.0,4714476.66,11.49,58572.05,39547000,5.23,99.36649426449767,90-100%,Sedang
SULAWESI SELATAN,74.6,30313350000000.0,30216650000000.0,9260100.0,3263101.91,8.7,652648.09,69710000,4.51,99.68099863591455,90-100%,Tinggi
SULAWESI TENGAH,71.66,19749320000000.0,19947410000000.0,3051200.0,6537562.271,12.41,347139.01,112461000,11.91,101.00302187619626,>100%,Tinggi
SULAWESI TENGGARA,72.94,20460790000000.0,20840410000000.0,2704600.0,7705542.409,11.43,176179.9,64088000,5.35,101.85535358116671,>100%,Tinggi
SUMATERA BARAT,75.64,20429980000000.0,20260700000000.0,5677600.0,3568532.479,5.95,312769.38,54327000,4.62,99.17141377524598,90-100%,Tinggi
SUMATERA SELATAN,73.18,33865210000000.0,35433170000000.0,8647300.0,4097599.251,11.78,629168.67,71958000,5.08,104.63000229439004,>100%,Tinggi
SUMATERA UTARA,75.13,42725870000000.0,42732610000000.0,15180500.0,2814967.228,8.15,1050995.41,68306000,5.01,100.01577498597453,>100%,Tinggi
